,Name,Rating,Price,RAM,Display,Camera,Battery,Processor,Number of People Rated,Number of People Review
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.3,"9,499",4,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,"1,69,228","9,728"
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.3,"9,499",4,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,"1,69,228","9,728"
2,"POCO C51 (Power Black, 64 GB)",4.1,"6,499",4,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,"64,619","3,624"
3,"REDMI 12 (Moonstone Silver, 128 GB)",4.3,"9,999",4,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery,Helio G88 Processor,"13,114","1,006"
4,"POCO C51 (Royal Blue, 64 GB)",4.1,"6,499",4,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery,Helio G36 Processor,"64,619","3,624"
5,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.3,"9,499",4,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,"1,69,228","9,728"
6,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",4.3,"7,999",4,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,"30,738","1,565"
7,"Infinix HOT 20 Play (Aurora Green, 64 GB)",4.3,"7,999",4,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,"30,738","1,565"
8,"Infinix HOT 20 Play (Luna Blue, 64 GB)",4.3,"7,999",4,17.32 cm (6.82 inch) HD+ Display,13Mp + AI Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,MediaTek G37 Processor,"30,738","1,565"
9,"POCO C50 (Royal Blue, 32 GB)",4.2,"5,499",2,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","56,131","2,736"
10,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"13,999",6,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"1,24,207","7,205"
11,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"12,999",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"67,667","3,768"
12,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"13,999",6,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"1,24,207","7,205"
13,"vivo T2x 5G (Aurora Gold, 128 GB)",4.3,"15,999",8,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"27,696","1,713"
14,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"12,999",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"67,667","3,768"
15,"vivo T2x 5G (Glimmer Black, 128 GB)",4.3,"15,999",8,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"27,696","1,713"
16,"vivo T2x 5G (Marine Blue, 128 GB)",4.3,"15,999",8,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"27,696","1,713"
17,"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"12,999",4,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,"67,667","3,768"
18,"APPLE iPhone 11 (Black, 128 GB)",4.6,"40,999",128,16.56 cm (6.52 inch) HD+ Display,8MP Dual Camera | 5MP Front Camera,5000 mAh Lithium Polymer Battery,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","2,00,135","11,400"
